Feature,Importance
HHS_Lag_1,0.7187801901023299
Rolling_Mean_7,0.20512340892460004
Rolling_Mean_14,0.03309417924698182
HHS_Lag_7,0.025291689790018487
HHS_Lag_14,0.0071278443242510725
CBP_Custody,0.0038456095849258138
CBP_Apprehended,0.002012047890371798
Transferred_to_HHS,0.0016305272965030544
Month,0.000713645683511321
Discharged_from_HHS,0.0005454102420368004
Rolling_STD_7,0.00043515257177980017
Rolling_STD_14,0.00036778827209451984
Net_Pressure,0.00035093730606717535
Capacity_Stress_Ratio,0.0002314001854946152
Day_of_Week,0.0002230608478500009
Is_Weekend,0.0001781109699081583
Quarter,4.8996761275685106e-05
